2024/07/31 00:34:32 [error] 13404#15808: *4368 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/is-running?_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10003", host: "microgrid.local", referrer: "http://microgrid.local/wp-admin/admin.php?page=simply-static-generate"
2024/07/31 00:34:33 [error] 13404#15808: *4366 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/activity-log?blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10002", host: "microgrid.local", referrer: "http://microgrid.local/wp-admin/admin.php?page=simply-static-generate"
2024/07/31 00:34:33 [error] 13404#15808: *4366 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/activity-log?blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "microgrid.local", referrer: "http://microgrid.local/wp-admin/admin.php?page=simply-static-generate"
2024/07/31 00:34:33 [error] 13404#15808: *4368 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/is-running?_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10002", host: "microgrid.local", referrer: "http://microgrid.local/wp-admin/admin.php?page=simply-static-generate"
2024/07/31 00:34:33 [error] 13404#15808: *4375 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://127.0.0.1:10002", host: "microgrid.local", referrer: "http://microgrid.local/wp-admin/admin.php?page=simply-static-generate"
2024/07/31 00:34:33 [error] 13404#15808: *4377 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/export-log?page=1&per_page=25&blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10002", host: "microgrid.local", referrer: "http://microgrid.local/wp-admin/admin.php?page=simply-static-generate"
2024/07/31 00:34:33 [error] 13404#15808: *4377 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/export-log?page=1&per_page=25&blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "microgrid.local", referrer: "http://microgrid.local/wp-admin/admin.php?page=simply-static-generate"
2024/07/31 00:34:33 [error] 13404#15808: *4373 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/export-log?page=1&per_page=25&blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10002", host: "microgrid.local", referrer: "http://microgrid.local/wp-admin/admin.php?page=simply-static-generate"
2024/07/31 00:34:33 [error] 13404#15808: *4373 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/export-log?page=1&per_page=25&blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "microgrid.local", referrer: "http://microgrid.local/wp-admin/admin.php?page=simply-static-generate"
2024/07/31 00:34:33 [error] 13404#15808: *4370 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://127.0.0.1:10002", host: "microgrid.local", referrer: "http://microgrid.local/wp-admin/admin.php?page=simply-static-generate"
2024/07/31 00:34:33 [error] 13404#15808: *4379 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "microgrid.local", referrer: "http://microgrid.local/wp-admin/admin.php?page=simply-static-generate"
2024/07/31 00:34:33 [error] 13404#15808: *4380 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "microgrid.local", referrer: "http://microgrid.local/wp-admin/admin.php?page=simply-static-generate"
2024/07/31 00:34:33 [error] 13404#15808: *4381 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/export-log?page=1&per_page=25&blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "microgrid.local", referrer: "http://microgrid.local/wp-admin/admin.php?page=simply-static-generate"
2024/07/31 00:34:33 [error] 13404#15808: *4382 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/activity-log?blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "microgrid.local", referrer: "http://microgrid.local/wp-admin/admin.php?page=simply-static-generate"
2024/07/31 00:34:33 [error] 13404#15808: *4383 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/export-log?page=1&per_page=25&blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "microgrid.local", referrer: "http://microgrid.local/wp-admin/admin.php?page=simply-static-generate"
